price,size,rooms,from_owner,great_view,under_priced,only_here,town,address,district
110000,29,1,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros – Váralja), Logodi utca 76",1
130000,90,3,1,0,0,0,Budapest,"1. kerület, (Víziváros – Váralja), Batthyány utca",1
458925,89,3,0,1,0,0,Budapest,"1. kerület, (Víziváros – Váralja), Donáti utca",1
210000,52,2,1,0,0,0,Budapest,"1. kerület, (Vár), Szentháromság utca",1
140000,82,2,0,1,0,0,Budapest,"1. kerület, (Krisztinaváros – Váralja), Attila út",1
110000,35,1,0,0,0,0,Budapest,"1. kerület, (Víziváros), Csalogány utca 6-10",1
200000,75,3,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros – Váralja), Váralja utca",1
200000,74,3,0,0,1,0,Budapest,"1. kerület, (Krisztinaváros), Attila út",1
82000,45,2,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros), Kosciuszkó Tádé utca",1
190920,45,2,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros – Váralja)",1
139000,86,2,0,0,0,0,Budapest,"1. kerület, (Víziváros – Váralja), Hunyadi János út",1
152736,60,2,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros), Gellérthegy utca",1
150000,39,1,0,0,0,0,Budapest,"1. kerület, (Vár), Úri utca",1
140000,80,3,0,0,0,0,Budapest,"1. kerület, (Krisztinaváros – Váralja), Mátray utca",1
254560,110,3,0,0,0,0,Budapest,"1. kerület, (Víziváros)",1
130000,75,2,1,0,0,0,Budapest,"3. kerület, (Óbuda-Óváros), San Marco utca",3
300000,61,2,0,1,0,0,Budapest,"3. kerület, (Rómaifürdő – Rómaipart), Nánási út",3
69000,35,1,0,0,0,0,Budapest,"3. kerület, (Filatorigát), Raktár utca",3
110000,45,1,0,0,0,0,Budapest,"3. kerület, (Újlak), Lajos utca",3
85000,36,1,0,0,0,0,Budapest,"3. kerület, (Óbudai lakótelep), Meggyfa utca",3
130000,45,1,0,0,0,0,Budapest,"3. kerület, (Óbuda-Óváros), Lajos utca",3
220000,125,4,0,0,0,0,Budapest,"3. kerület, (Mocsárosdűlő), Gladiátor utca",3
180000,110,1,0,0,0,0,Budapest,"3. kerület, (Testvérhegy), Erdőalja út",3
380000,120,4,0,0,0,0,Budapest,"3. kerület, (Mátyáshegy), Szépvölgyi út",3
220000,65,2,0,0,0,0,Budapest,"3. kerület, (Hármashatárhegy), Szépvölgyi út",3
90000,39,1,0,0,0,0,Budapest,"3. kerület, (Rómaifürdő), Nánási út",3
250000,81,3,0,0,0,0,Budapest,"3. kerület, (Újlak), Seregély utca",3
160000,49,1,0,0,0,0,Budapest,"3. kerület, (Testvérhegy)",3
345000,120,4,0,0,0,0,Budapest,"3. kerület, (Csillaghegy), Csermák Antal utca",3
345000,120,4,0,0,0,0,Budapest,"3. kerület, (Csillaghegy – Forrásliget lakópark), Csermák Antal utca",3
185000,100,3,0,0,0,0,Budapest,"4. kerület, (Újpest-Központ), Árpád út",4
184128,100,4,0,0,0,0,Budapest,"4. kerület, (Újpest), Árpád út",4
177990,98,1,0,0,0,0,Budapest,"4. kerület, (Újpest), Árpád út 48",4
100000,85,2,0,0,0,0,Budapest,"4. kerület, (Újpest), Türr István utca",4
55000,38,1,0,0,0,0,Budapest,"4. kerület, (Újpest-Kertváros), Vécsey Károly utca",4
60000,30,1,0,0,0,0,Budapest,"4. kerület, (Székesdűlő), Ezred utca",4
100000,67,2,0,0,0,0,Budapest,"4. kerület, (Újpest), Nyár utca",4
130000,67,2,0,0,0,0,Budapest,"4. kerület, (Újpest), Széchenyi tér",4
68000,18,1,0,0,0,0,Budapest,"4. kerület, (Újpesti lakótelep), Erzsébet utca",4
110000,59,1,0,0,0,0,Budapest,"4. kerület, (Megyer – Nagyváradi liget lakópark), Gyertyaláng köz",4
65000,42,1,0,0,0,0,Budapest,"4. kerület, (Újpest), Perényi Zsigmond utca",4
140000,56,2,0,0,0,0,Budapest,"4. kerület, (Újpest-Központ), Munkásotthon utca 14-16",4
65000,38,1,0,0,0,0,Budapest,"4. kerület, (Újpest), Irányi Dániel utca 1",4
100000,85,1,0,0,0,0,Budapest,"4. kerület, (Újpest), József Attila utca",4
55000,29,1,0,0,0,0,Budapest,"4. kerület, (Székesdűlő), Székesdűlő sor",4
65000,53,2,0,0,0,0,Budapest,"4. kerület, (Újpest), Munkásotthon utca 9",4
75000,59,2,0,0,0,0,Budapest,"4. kerület, (Káposztásmegyer), Külső Szilágyi út",4
192696,50,1,1,0,0,0,Budapest,"5. kerület, (Lipótváros), Vadász utca",5
307050,70,2,0,1,0,0,Budapest,"5. kerület, (Lipótváros), Falk Miksa utca",5
190000,40,1,1,0,0,0,Budapest,"5. kerület, (Lipótváros), Aulich utca",5
185430,61,2,1,0,0,0,Budapest,"5. kerület, (Belváros), Aranykéz utca 6",5
240000,71,1,0,1,0,0,Budapest,"5. kerület, (Lipótváros), Stollár Béla utca 4",5
128464,35,1,0,0,0,0,Budapest,"5. kerület, (Lipótváros), Alkotmány utca",5
540940,62,3,0,0,0,0,Budapest,"5. kerület, (Belváros), Belgrád rakpart",5
795500,160,4,0,0,0,0,Budapest,"5. kerület, (Lipótváros), Bajcsy-Zsilinszky út",5
795500,140,4,0,0,0,0,Budapest,"5. kerület, (Belváros), Párizsi utca",5
85000,47,1,0,0,0,0,Budapest,"5. kerület, (Belváros), Vámház körút 10",5
96348,60,1,0,0,0,0,Budapest,"5. kerület, (Lipótváros), Bank utca",5
1050060,115,3,0,0,0,0,Budapest,"5. kerület, (Lipótváros), Szabadság tér",5
254560,108,3,0,0,0,0,Budapest,"5. kerület, (Lipótváros), Október 6. utca",5
254560,65,2,0,0,0,0,Budapest,"5. kerület, (Lipótváros)",5
636400,120,3,0,0,0,0,Budapest,"5. kerület, (Belváros), Váci utca",5
318200,104,2,0,0,0,0,Budapest,"5. kerület, (Belváros), Kecskeméti utca",5
125000,68,2,0,0,0,0,Budapest,"5. kerület, (Belváros), Reáltanoda utca",5
180000,108,3,0,1,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Dohány utca 1",7
286380,75,3,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Madách Imre tér",7
286380,70,2,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Király utca",7
160000,68,2,0,0,0,0,Budapest,"7. kerület, (Külső-Erzsébetváros), Sajó utca",7
250000,90,3,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros)",7
140000,88,2,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Rákóczi út",7
90000,43,1,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Akácfa utca",7
89000,42,1,0,0,0,0,Budapest,"7. kerület, (Külső-Erzsébetváros – Ligetváros)",7
477300,117,3,0,0,0,0,Budapest,"7. kerület, (Belső-Erzsébetváros), Gozsdu udvar",7
150000,85,3,0,0,0,0,Budapest,"7. kerület, (Külső-Erzsébetváros), Bajza utca",7
136826,48,2,0,0,0,0,Budapest,"7. kerület, (Külső-Erzsébetváros – Ligetváros), Marek József utca",7
155000,105,3,0,0,0,0,Budapest,"7. kerület, (Középső-Erzsébetváros), Izabella utca",7
315018,144,4,0,0,0,0,Budapest,"7. kerület, (Középső-Erzsébetváros), Almássy tér",7
110000,50,3,0,0,0,0,Budapest,"7. kerület, (Középső-Erzsébetváros)",7
180000,44,1,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed), Corvin sétány 1",8
120000,85,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Palotanegyed), Csepreghy utca",8
100000,35,1,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed), Nagy Templom utca",8
100000,45,1,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Népszínháznegyed), Kiss József utca",8
280000,84,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed)",8
105000,70,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed), Üllői út",8
143190,60,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Palotanegyed), Bródy Sándor utca",8
165000,100,4,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Népszínháznegyed), Rákóczi út",8
120000,69,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Csarnoknegyed), Népszínház utca",8
286380,105,4,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed), Horváth Mihály tér",8
135000,55,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Népszínháznegyed), Kun utca",8
180000,55,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Corvinnegyed), Corvin sétány",8
139000,60,4,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Losoncinegyed), Baross utca",8
140000,55,2,0,0,0,0,Budapest,"8. kerület, (Józsefváros – Csarnoknegyed), Víg utca",8
120000,45,2,0,0,0,0,Budapest,"11. kerület, (Kőérberek – Tóváros), Tóberek utca",11
183816,50,1,0,0,0,0,Budapest,"11. kerület, (Kelenföld), Kosztolányi Dezső tér",11
160670,52,1,1,0,0,0,Budapest,"11. kerület, (Lágymányos), Siroki utca",11
119000,58,2,0,0,0,0,Budapest,"11. kerület, (Kelenföld), Petzvál József utca",11
90000,55,2,0,0,0,0,Budapest,"11. kerület, (Sasad), Brassó út",11
70000,38,1,0,0,0,0,Budapest,"11. kerület, (Kelenföld - Fehérvári úti lakótelep), Andor utca 10",11
240000,100,4,0,0,0,0,Budapest,"11. kerület, (Szentimreváros), Kenese utca",11
230000,130,4,0,0,0,0,Budapest,"11. kerület, (Szentimreváros), Ábel Jenő utca",11
